"site","t","method","order","SC","qD","qD.LCL","qD.UCL"
"1964",6,"interpolated",0,0.524,4.964,2.416,7.512
"1965",7,"interpolated",0,0.55,5.91,4.29,7.529
"1966",8,"extrapolated",0,0.545,9.984,4.236,15.733
"1968",4,"interpolated",0,0.53,3.245,2.169,4.32
"1970",16,"extrapolated",0,0.532,19.296,7.791,30.8
"1972",1,"interpolated",0,0.417,1.714,0.989,2.44
"1976",4,"observed",0,0.509,4,1.806,6.194
"1977",7,"extrapolated",0,0.552,6.035,2.3,9.77
"1978",10,"interpolated",0,0.526,10.038,6.388,13.689
"1979",6,"interpolated",0,0.535,4.034,2.012,6.057
"1980",11,"interpolated",0,0.529,9.526,7.555,11.497
"1981",6,"interpolated",0,0.528,5.027,3.326,6.728
"1982",19,"extrapolated",0,0.541,20.003,7.671,32.335
"1983",5,"extrapolated",0,0.578,5.75,1.99,9.51
"1984",15,"extrapolated",0,0.537,12.247,4.515,19.979
"1985",30,"extrapolated",0,0.531,20.944,10.115,31.773
"1987",4,"extrapolated",0,0.556,3.667,1.411,5.922
"1988",4,"interpolated",0,0.457,3.867,1.939,5.794
"1989",6,"interpolated",0,0.429,12.321,8.825,15.818
"1990",15,"extrapolated",0,0.539,12.418,4.67,20.166
"1991",6,"interpolated",0,0.429,9.857,6.347,13.367
"1993",7,"extrapolated",0,0.532,6.343,2.348,10.339
"1994",16,"extrapolated",0,0.532,13.564,9.389,17.739
"1995",9,"interpolated",0,0.543,7.873,4.856,10.89
"1997",5,"interpolated",0,0.549,4.96,3.262,6.657
"2006",8,"extrapolated",0,0.537,8.452,2.903,14
"2008",6,"interpolated",0,0.527,15.187,12.29,18.084
"2009",7,"interpolated",0,0.531,16.968,13.841,20.095
"2013",5,"interpolated",0,0.528,6.476,3.949,9.003
"2014",3,"interpolated",0,0.509,15.716,14.568,16.864
"2015",4,"interpolated",0,0.532,21.913,20.373,23.453
"2016",9,"interpolated",0,0.539,16.385,13.536,19.233
"2017",4,"interpolated",0,0.504,6.204,5.15,7.258
"2018",4,"interpolated",0,0.549,5.255,4.442,6.067
